country,date,total_cases,total_deaths,icu_patients
Canada,2020-01-05,0,0,0
Canada,2020-01-06,0,0,0
Canada,2020-01-07,0,0,0
Canada,2020-01-08,0,0,0
Canada,2020-01-09,0,0,0
Canada,2020-01-10,0,0,0
Canada,2020-01-11,0,0,0
Canada,2020-01-12,0,0,0
Canada,2020-01-13,0,0,0
Canada,2020-01-14,0,0,0
Canada,2020-01-15,0,0,0
Canada,2020-01-16,0,0,0
Canada,2020-01-17,0,0,0
Canada,2020-01-18,0,0,0
Canada,2020-01-19,0,0,0
Canada,2020-01-20,0,0,0
Canada,2020-01-21,0,0,0
Canada,2020-01-22,0,0,0
Canada,2020-01-23,0,0,0
Canada,2020-01-24,0,0,0
Canada,2020-01-25,0,0,0
Canada,2020-01-26,1,0,0
Canada,2020-01-27,1,0,0
Canada,2020-01-28,1,0,0
Canada,2020-01-29,1,0,0
Canada,2020-01-30,1,0,0
Canada,2020-01-31,1,0,0
Canada,2020-02-01,1,0,0
Canada,2020-02-02,4,0,0
Canada,2020-02-03,4,0,0
Canada,2020-02-04,4,0,0
Canada,2020-02-05,4,0,0
Canada,2020-02-06,4,0,0
Canada,2020-02-07,4,0,0
Canada,2020-02-08,4,0,0
Canada,2020-02-09,7,0,0
Canada,2020-02-10,7,0,0
Canada,2020-02-11,7,0,0
Canada,2020-02-12,7,0,0
Canada,2020-02-13,7,0,0
Canada,2020-02-14,7,0,0
Canada,2020-02-15,7,0,0
Canada,2020-02-16,7,0,0
Canada,2020-02-17,7,0,0
Canada,2020-02-18,7,0,0
Canada,2020-02-19,7,0,0
Canada,2020-02-20,7,0,0
Canada,2020-02-21,7,0,0
Canada,2020-02-22,7,0,0
Canada,2020-02-23,9,0,0
Canada,2020-02-24,9,0,0
Canada,2020-02-25,9,0,0
Canada,2020-02-26,9,0,0
Canada,2020-02-27,9,0,0
Canada,2020-02-28,9,0,0
Canada,2020-02-29,9,0,0
Canada,2020-03-01,15,0,0
Canada,2020-03-02,15,0,0
Canada,2020-03-03,15,0,0
Canada,2020-03-04,15,0,0
Canada,2020-03-05,15,0,0
Canada,2020-03-06,15,0,0
Canada,2020-03-07,15,0,0
Canada,2020-03-08,51,0,0
Canada,2020-03-09,51,0,0
Canada,2020-03-10,51,0,0
Canada,2020-03-11,51,0,0
Canada,2020-03-12,51,0,0
Canada,2020-03-13,51,0,0
Canada,2020-03-14,51,0,0
Canada,2020-03-15,176,1,0
Canada,2020-03-16,176,1,0
Canada,2020-03-17,176,1,0
Canada,2020-03-18,176,1,0
Canada,2020-03-19,176,1,0
Canada,2020-03-20,176,1,0
Canada,2020-03-21,176,1,0
Canada,2020-03-22,971,11,0
Canada,2020-03-23,971,11,0
Canada,2020-03-24,971,11,0
Canada,2020-03-25,971,11,0
Canada,2020-03-26,971,11,0
Canada,2020-03-27,971,11,0
Canada,2020-03-28,971,11,0
Canada,2020-03-29,4675,35,0
Canada,2020-03-30,4675,35,0
Canada,2020-03-31,4675,35,0
Canada,2020-04-01,4675,35,36
Canada,2020-04-02,4675,35,124
Canada,2020-04-03,4675,35,125
Canada,2020-04-04,4675,35,126
Canada,2020-04-05,12519,187,130
Canada,2020-04-06,12519,187,132
Canada,2020-04-07,12519,187,130
Canada,2020-04-08,12519,187,33
Canada,2020-04-09,12519,187,98
Canada,2020-04-10,12519,187,95
Canada,2020-04-11,12519,187,92
Canada,2020-04-12,22133,568,90
Canada,2020-04-13,22133,568,84
Canada,2020-04-14,22133,568,85
Canada,2020-04-15,22133,568,87
Canada,2020-04-16,22133,568,86
Canada,2020-04-17,22133,568,82
Canada,2020-04-18,22133,568,85
Canada,2020-04-19,31872,1306,89
Canada,2020-04-20,31872,1306,79
Canada,2020-04-21,31872,1306,82
Canada,2020-04-22,31872,1306,76
Canada,2020-04-23,31872,1306,71
Canada,2020-04-24,31872,1306,72
Canada,2020-04-25,31872,1306,69
Canada,2020-04-26,43877,2299,68
Canada,2020-04-27,43877,2299,64
Canada,2020-04-28,43877,2299,68
Canada,2020-04-29,43877,2299,64
Canada,2020-04-30,43877,2299,59
Canada,2020-05-01,43877,2299,290
Canada,2020-05-02,43877,2299,296
Canada,2020-05-03,55050,3382,292
Canada,2020-05-04,55050,3382,292
Canada,2020-05-05,55050,3382,290
Canada,2020-05-06,55050,3382,281
Canada,2020-05-07,55050,3382,277
Canada,2020-05-08,55050,3382,264
Canada,2020-05-09,55050,3382,258
